Bogennummer;REDE_Namen;Longitude;Latitude;REDE_GIDs;Sprache;Herkunft;WS22::Transliteration WS22;WS22: Adjektivform;WS22: Stammvokal;WS31::Transliteration WS31;WS31: Adjektivform;WS31: Stammvokal
23471;Münster;7,61785;51,96303;101405;1;Marburg;Man mot laud schreien, sühs varsteiht he us nich.;laud;au;Jk verstoah ju nich, ji mürt en bitken hadder spriäken.;hadder;a
23478;Einen;7,89819;51,97427;102244;1;Marburg;Măn mott harne schraien, süs västait he uhs nieh.;harne;a;Jck vastaoh guh nich, gieh mot n' bietken harrer küeren.;harrer;a
23483;Greffen;8,14209;51,97737;102153;1;Marburg;Man mott hatter schreien, süss versteiht he uss nich.;hatter;a;Jck verstoh ju nich, jie müt't äin bitken hatter käiern.;hatter;a
23494;Speelberg;6,255515898;51,85708916;544174;1;Marburg;Man mot hărt rupe, anders versteht hej ons niet.;hărt;ă;Ék verstō̄n ow niet, géj mott en bétje harder sprǟke.;harder;a
23498;Hemden;6,59361;51,87915;103952;1;Marburg;Man mut ropen, anders versteht he uns need;;;Jk verstoh ou neeth, eei mut en betken härder kallen.;härder;ä
23507;Weseke;6,85711;51,90792;101671;1;Marburg;Man mut hat schreien, süs vösteht he uns nig.;hat;a;Jk vöstoh uh nich, ih müdt een bätken nüxker spräken;nüxker;ü
23545;Tüddern;5,8999;51,01437;547392;1;Marburg;Men mot hell quake, an̰n̰esch verstěht hä os nět.;hell ;e;Ech verstohn öch net, ihr mot eh bidje helldersprä̌ke.;hellder;e
23566;Porselen;6,17221;51,03878;134430;1;Marburg;Men mot hell schreie, sös versteht he os net.;hell ;e;Ich verstohn öch net, ihr mot e wenneg heller spräke.;heller;e
23602;Holzweiler;6,40679;51,04786;135008;1;Marburg;Mèr moß hell schrèé, sös versteht äe os net.;hell ;e;Ech verstonn ög net, ir mot e beßge heller kalle.;heller;e
23630;Evinghoven;6,69129;51,07309;135418;1;Marburg;Mer muß hatt schreie, söns versteht ä ongs nett.;hatt;a;Ech verstonn öch nett, ir mutt e besche hader kalle.;hader;a
23817;Reusrath;6,974307355;51,08552788;544260;1;Marburg;Mer muß hat schreien, sös vesteht er us nit.;hat;a;Ech verstonn öch nit, ür müt ebesge häder kalle.;häder;ä
